,losses,errors
0,0.7188617587089539,58.0
1,0.69040846824646,62.0
2,0.7040525674819946,74.0
3,0.6731480956077576,48.0
4,0.6484302878379822,44.0
5,0.6124456524848938,38.0
6,0.6168472766876221,48.0
7,0.6222684383392334,52.0
8,0.5755394697189331,38.0
9,0.5888705849647522,44.0
10,0.5780479311943054,37.0
11,0.48554837703704834,24.0
12,0.4571411907672882,32.0
13,0.6381365656852722,33.0
14,0.6779628396034241,44.0
15,0.45869162678718567,29.0
16,0.5323783755302429,28.0
17,0.33400148153305054,23.0
18,0.319979190826416,17.0
19,0.24794450402259827,11.0
20,0.2362801432609558,13.0
21,0.4388779401779175,23.0
22,0.42664268612861633,25.0
23,0.4084130525588989,26.0
24,0.4716179370880127,29.0
25,0.48011353611946106,19.0
26,0.29592248797416687,16.0
27,0.7100434303283691,31.0
28,0.6047674417495728,25.0
29,0.4034828543663025,21.0
30,0.3076566457748413,15.0
31,0.3665796220302582,21.0
32,0.3622535765171051,22.0
33,0.3183232843875885,17.0
34,0.26821884512901306,13.0
35,0.26966091990470886,16.0
36,0.26796531677246094,14.0
37,0.28264743089675903,18.0
38,0.30488085746765137,17.0
39,0.28298142552375793,18.0
40,0.2893402874469757,18.0
41,0.23908598721027374,14.0
42,0.29476073384284973,17.0
43,0.28780031204223633,17.0
44,0.2733297049999237,14.0
45,0.5629559755325317,30.0
46,0.2468145787715912,13.0
47,0.44337326288223267,22.0
48,0.26111167669296265,14.0
49,0.18576139211654663,7.0
50,0.2871937155723572,18.0
51,0.21230056881904602,11.0
52,0.287742018699646,16.0
53,0.17808876931667328,8.0
54,0.25148898363113403,16.0
55,0.31699004769325256,16.0
56,0.256712406873703,16.0
57,0.24073725938796997,12.0
58,0.3892512917518616,23.0
59,0.24380835890769958,14.0
60,0.3053400218486786,15.0
61,0.43199414014816284,24.0
62,0.310554563999176,17.0
63,0.17640197277069092,9.0
64,0.3812718391418457,19.0
65,0.24945107102394104,13.0
66,0.42160624265670776,23.0
67,0.3353365361690521,18.0
68,0.2579088509082794,13.0
69,0.32380032539367676,19.0
70,0.2893187999725342,16.0
71,0.3040093183517456,19.0
72,0.3803211748600006,21.0
73,0.2696129381656647,17.0
74,0.3679843544960022,19.0
75,0.249169260263443,15.0
76,0.22827766835689545,12.0
77,0.3168117105960846,19.0
78,0.268411248922348,16.0
79,0.29166045784950256,15.0
80,0.3840811848640442,21.0
81,0.33712896704673767,21.0
82,0.22174328565597534,10.0
83,0.3365633487701416,18.0
84,0.28999897837638855,18.0
85,0.2887837290763855,19.0
86,0.26797905564308167,17.0
87,0.19143442809581757,8.0
88,0.2986050248146057,15.0
89,0.3851886987686157,19.0
90,0.25526857376098633,15.0
91,0.27972903847694397,17.0
92,0.26137247681617737,14.0
93,0.28672486543655396,15.0
94,0.3417263925075531,16.0
95,0.25671130418777466,16.0
96,0.22516696155071259,14.0
97,0.23109763860702515,11.0
98,0.31482961773872375,19.0
99,0.2874586880207062,16.0
100,0.29306378960609436,16.0
101,0.40451234579086304,21.0
102,0.23285448551177979,11.0
103,0.17418386042118073,7.0
104,0.2936114966869354,19.0
105,0.22707028687000275,12.0
106,0.21811029314994812,11.0
107,0.2720509171485901,18.0
108,0.24045956134796143,15.0
109,0.26591163873672485,14.0
110,0.21233880519866943,12.0
111,0.1908702403306961,11.0
112,0.3177816867828369,16.0
113,0.1745326966047287,9.0
114,0.22052326798439026,11.0
115,0.23216846585273743,13.0
116,0.47690436244010925,23.0
117,0.2135286182165146,11.0
118,0.17377035319805145,8.0
119,0.32982224225997925,18.0
120,0.6221803426742554,29.0
121,0.4557130038738251,25.0
122,0.30828166007995605,15.0
123,0.5698812007904053,30.0
124,0.4832703471183777,27.0
125,0.21143174171447754,10.0
126,0.24461260437965393,15.0
127,0.3087814748287201,18.0
128,0.2104009985923767,12.0
129,0.34210148453712463,22.0
130,0.2739124298095703,15.0
131,0.24110066890716553,14.0
132,0.3134341835975647,17.0
133,0.29691076278686523,17.0
134,0.28544825315475464,17.0
135,0.3059910535812378,17.0
136,0.24903568625450134,15.0
137,0.34287184476852417,20.0
138,0.22048398852348328,10.0
139,0.32764965295791626,21.0
140,0.35247498750686646,20.0
141,0.3372536897659302,23.0
142,0.4500057101249695,23.0
143,0.2566526532173157,15.0
144,0.30450063943862915,18.0
145,0.18925923109054565,12.0
146,0.27464622259140015,16.0
147,0.29007822275161743,20.0
148,0.3539416790008545,19.0
149,0.41079795360565186,23.0
150,0.38106870651245117,21.0
151,0.3070448338985443,17.0
152,0.43776482343673706,24.0
153,0.3543236255645752,22.0
154,0.3405294120311737,20.0
155,0.2761295735836029,16.0
156,0.3344362676143646,19.0
157,0.2556006908416748,13.0
158,0.30393439531326294,18.0
159,0.25986403226852417,15.0
160,0.23148706555366516,14.0
161,0.23242072761058807,15.0
162,0.44408491253852844,23.0
163,0.2614293694496155,15.0
164,0.2503420114517212,15.0
165,0.3576027452945709,19.0
166,0.19117766618728638,10.0
167,0.30530956387519836,18.0
168,0.2687864601612091,15.0
169,0.1979772001504898,9.0
170,0.25386524200439453,14.0
171,0.2775263786315918,17.0
172,0.28811126947402954,16.0
173,0.2829550802707672,17.0
174,0.25363051891326904,14.0
175,0.2845466732978821,18.0
176,0.40575987100601196,20.0
177,0.2664467692375183,19.0
178,0.166807621717453,8.0
179,0.2698229253292084,16.0
180,0.3260326385498047,20.0
181,0.40495672821998596,21.0
182,0.3032151460647583,18.0
183,0.37280040979385376,20.0
184,0.30065208673477173,18.0
185,0.207406684756279,12.0
186,0.25703245401382446,12.0
187,0.21836009621620178,13.0
188,0.23193131387233734,8.0
189,0.20097436010837555,11.0
190,0.2399013340473175,14.0
191,0.3531419038772583,19.0
192,0.21637199819087982,11.0
193,0.19309043884277344,11.0
194,0.23187826573848724,15.0
195,0.21216517686843872,13.0
196,0.3478957712650299,22.0
197,0.2829605042934418,16.0
198,0.21125935018062592,13.0
199,0.3027383089065552,17.0
200,0.2728690803050995,17.0
201,0.21846452355384827,14.0
202,0.3138560652732849,18.0
203,0.3069792687892914,19.0
204,0.1739356517791748,8.0
205,0.17570436000823975,9.0
206,0.223821222782135,13.0
207,0.24780094623565674,16.0
208,0.24128112196922302,15.0
209,0.3496648967266083,22.0
210,0.29839104413986206,18.0
211,0.23385174572467804,13.0
212,0.18268826603889465,9.0
213,0.32991427183151245,21.0
214,0.17948482930660248,10.0
215,0.20286716520786285,11.0
216,0.21751411259174347,14.0
217,0.19767320156097412,10.0
218,0.3965168595314026,21.0
219,0.24499094486236572,15.0
220,0.23996156454086304,11.0
221,0.31695494055747986,16.0
222,0.19770023226737976,12.0
223,0.22374242544174194,13.0
224,0.17541620135307312,11.0
225,0.2070848047733307,11.0
226,0.24655751883983612,13.0
227,0.29699426889419556,17.0
228,0.44883111119270325,26.0
229,0.29147422313690186,19.0
230,0.3096073269844055,18.0
231,0.3017965853214264,12.0
232,0.3681451380252838,23.0
233,0.2708408236503601,16.0
234,0.23898524045944214,12.0
235,0.19491484761238098,11.0
236,0.24928590655326843,16.0
237,0.43917572498321533,21.0
238,0.24832451343536377,15.0
239,0.25160083174705505,14.0
240,0.247097909450531,14.0
241,0.29286009073257446,15.0
242,0.2967097759246826,18.0
243,0.3698016405105591,23.0
244,0.18366436660289764,10.0
245,0.2605302631855011,19.0
246,0.24905437231063843,15.0
247,0.3520170748233795,22.0
248,0.38453876972198486,24.0
249,0.2872927784919739,14.0
250,0.19491265714168549,10.0
251,0.23178043961524963,9.0
252,0.24641792476177216,13.0
253,0.39889153838157654,22.0
254,0.26123467087745667,17.0
255,0.32193320989608765,20.0
256,0.45155274868011475,28.0
257,0.21567979454994202,11.0
258,0.2499321699142456,15.0
259,0.34466463327407837,21.0
260,0.2649801969528198,18.0
261,0.41896188259124756,28.0
262,0.1732044517993927,6.0
263,0.3479090929031372,17.0
264,0.3565734326839447,17.0
265,0.3257460594177246,22.0
266,0.29266607761383057,17.0
267,0.33879759907722473,18.0
268,0.20668865740299225,11.0
269,0.28559213876724243,18.0
270,0.3783908486366272,21.0
271,0.3098090887069702,17.0
272,0.29782652854919434,20.0
273,0.3374992609024048,18.0
274,0.24344275891780853,13.0
275,0.24554415047168732,13.0
276,0.4664002060890198,20.0
277,0.38199859857559204,24.0
278,0.2514076828956604,16.0
279,0.2913200855255127,16.0
280,0.35477006435394287,20.0
281,0.3035738468170166,20.0
282,0.2731945514678955,15.0
283,0.3108959197998047,20.0
284,0.30902335047721863,17.0
285,0.37629586458206177,24.0
286,0.3244497776031494,18.0
287,0.29778823256492615,19.0
288,0.26900410652160645,17.0
289,0.2750604450702667,17.0
290,0.25987645983695984,17.0
291,0.21823133528232574,12.0
292,0.2738541066646576,14.0
293,0.26324912905693054,15.0
294,0.2993338406085968,18.0
295,0.22886379063129425,14.0
296,0.23786912858486176,13.0
297,0.233938068151474,15.0
298,0.292171835899353,18.0
299,0.2485979050397873,11.0
300,0.2711208462715149,18.0
301,0.19559705257415771,12.0
302,0.2066306173801422,12.0
303,0.2174317091703415,15.0
304,0.23910346627235413,16.0
305,0.2761560082435608,15.0
306,0.21177725493907928,11.0
307,0.1979249268770218,13.0
308,0.2024269700050354,10.0
309,0.27733197808265686,13.0
310,0.23251989483833313,14.0
311,0.15021127462387085,6.0
312,0.36237046122550964,20.0
313,0.37159645557403564,20.0
314,0.1568254679441452,8.0
315,0.20620866119861603,14.0
316,0.31137022376060486,17.0
317,0.18842381238937378,13.0
318,0.29046937823295593,15.0
319,0.3241117000579834,18.0
320,0.3870220482349396,25.0
321,0.16482064127922058,8.0
322,0.19965678453445435,11.0
323,0.29438021779060364,15.0
324,0.30213332176208496,16.0
325,0.17028729617595673,8.0
326,0.2432578206062317,14.0
327,0.26686322689056396,16.0
328,0.30181702971458435,18.0
329,0.2866523265838623,19.0
330,0.3557193875312805,19.0
331,0.243070587515831,14.0
332,0.2417830228805542,16.0
333,0.23410794138908386,14.0
334,0.22176674008369446,12.0
335,0.26775845885276794,16.0
336,0.2709563672542572,17.0
337,0.3936951756477356,20.0
338,0.3444359302520752,23.0
339,0.19988030195236206,12.0
340,0.2867654263973236,16.0
341,0.3580598831176758,20.0
342,0.32088157534599304,19.0
343,0.20003283023834229,14.0
344,0.30547696352005005,18.0
345,0.3171946704387665,21.0
346,0.22379475831985474,12.0
347,0.18145036697387695,7.0
348,0.31268584728240967,18.0
349,0.3446125090122223,19.0
350,0.21451634168624878,12.0
351,0.2374381572008133,14.0
352,0.2844374477863312,14.0
353,0.22034458816051483,13.0
354,0.2663781940937042,16.0
355,0.2673390507698059,17.0
356,0.2725440263748169,18.0
357,0.2739209532737732,15.0
358,0.28768497705459595,17.0
359,0.2469308078289032,15.0
