,losses,errors
0,0.6318690180778503,5.0
1,0.6842458844184875,9.0
2,0.7341899871826172,10.0
3,0.6776630282402039,11.0
4,0.7494080066680908,13.0
5,0.7122496962547302,9.0
6,0.6630321145057678,7.0
7,0.7265251278877258,11.0
8,0.6871453523635864,8.0
9,0.662183403968811,8.0
10,0.763848602771759,11.0
11,0.6849849820137024,11.0
12,0.69760662317276,10.0
13,0.7029249668121338,10.0
14,0.6906142830848694,9.0
15,0.7073929905891418,9.0
16,0.7322686314582825,11.0
17,0.655378520488739,8.0
18,0.6753250360488892,6.0
19,0.7314691543579102,12.0
20,0.739534318447113,12.0
21,0.7336231470108032,11.0
22,0.7285268306732178,11.0
23,0.6862855553627014,8.0
24,0.7271741032600403,11.0
25,0.7884842157363892,14.0
26,0.708289384841919,10.0
27,0.6936094760894775,7.0
28,0.7112926840782166,11.0
29,0.7215893268585205,11.0
30,0.7128896713256836,10.0
31,0.7064828276634216,11.0
32,0.7200033664703369,11.0
33,0.6755556464195251,8.0
34,0.6970179080963135,9.0
35,0.6967814564704895,11.0
36,0.7023404836654663,8.0
37,0.6624733805656433,6.0
38,0.681172788143158,8.0
39,0.6793177723884583,9.0
40,0.7237422466278076,12.0
41,0.7173109650611877,12.0
42,0.693060576915741,10.0
43,0.719817578792572,11.0
44,0.6779354214668274,8.0
45,0.6626678705215454,7.0
46,0.6620574593544006,7.0
47,0.6889917254447937,8.0
48,0.7062672972679138,9.0
49,0.71294766664505,7.0
50,0.7124823331832886,11.0
51,0.6986096501350403,9.0
52,0.7150852680206299,11.0
53,0.741290807723999,12.0
54,0.72472083568573,11.0
55,0.673712432384491,5.0
56,0.7189155220985413,11.0
57,0.7002815008163452,10.0
58,0.7023845911026001,9.0
59,0.7029198408126831,12.0
60,0.704823911190033,10.0
61,0.73341304063797,12.0
62,0.702849805355072,7.0
63,0.7012317776679993,11.0
64,0.7040472626686096,11.0
65,0.6863348484039307,9.0
66,0.7102680802345276,9.0
67,0.6816135048866272,8.0
68,0.6966463923454285,8.0
69,0.7015079259872437,9.0
70,0.7023932933807373,9.0
71,0.7202879786491394,13.0
72,0.6753893494606018,6.0
73,0.6872914433479309,7.0
74,0.6666356325149536,7.0
75,0.7223150134086609,11.0
76,0.6886069178581238,9.0
77,0.7104083299636841,11.0
78,0.7262487411499023,11.0
79,0.7036432027816772,9.0
80,0.6893837451934814,6.0
81,0.6884592771530151,8.0
82,0.6871913075447083,8.0
83,0.6932477951049805,10.0
84,0.6888172626495361,8.0
85,0.6765472888946533,5.0
86,0.6968607306480408,10.0
87,0.705975353717804,10.0
88,0.6748101115226746,6.0
89,0.706445038318634,11.0
90,0.7002213001251221,9.0
91,0.6931489109992981,10.0
92,0.6964655518531799,9.0
93,0.7145435214042664,11.0
94,0.7318105697631836,14.0
95,0.7141929268836975,9.0
96,0.6850730776786804,7.0
97,0.6874865293502808,8.0
98,0.6782340407371521,5.0
99,0.6948385238647461,10.0
100,0.7092997431755066,12.0
101,0.6977713108062744,10.0
102,0.6819797158241272,9.0
103,0.6898646354675293,9.0
104,0.7031009793281555,11.0
105,0.7141077518463135,12.0
106,0.6982347965240479,11.0
107,0.6882052421569824,9.0
108,0.700263261795044,7.0
109,0.6726323366165161,5.0
110,0.70801842212677,12.0
111,0.7024084329605103,12.0
112,0.6888031363487244,8.0
113,0.691551923751831,6.0
114,0.7056269645690918,10.0
115,0.7086179256439209,11.0
116,0.7092093229293823,12.0
117,0.7005571126937866,9.0
118,0.6972348690032959,10.0
119,0.6995672583580017,10.0
120,0.6981638669967651,9.0
121,0.686937153339386,5.0
122,0.680095374584198,7.0
123,0.707543134689331,12.0
124,0.6844207644462585,6.0
125,0.6958168148994446,9.0
126,0.7029040455818176,11.0
127,0.685698926448822,9.0
128,0.6982064247131348,10.0
129,0.6934896111488342,8.0
130,0.6996704936027527,11.0
131,0.6914327144622803,8.0
132,0.6952806711196899,9.0
133,0.7027297616004944,12.0
134,0.6752663254737854,6.0
135,0.696893572807312,10.0
136,0.7022878527641296,9.0
137,0.696784496307373,10.0
138,0.6958761215209961,8.0
139,0.695632815361023,9.0
140,0.6944013833999634,9.0
141,0.7164510488510132,11.0
142,0.6940167546272278,10.0
143,0.6903154850006104,9.0
144,0.6839465498924255,7.0
145,0.7144725322723389,12.0
146,0.7107627987861633,11.0
147,0.6955150365829468,7.0
148,0.6764419078826904,5.0
149,0.6864433288574219,9.0
150,0.7069919109344482,12.0
151,0.6795997023582458,5.0
152,0.6802406907081604,6.0
153,0.677833616733551,7.0
154,0.667079508304596,6.0
155,0.6726396083831787,6.0
156,0.698982298374176,10.0
157,0.6993523240089417,9.0
158,0.750730574131012,12.0
159,0.6968021988868713,12.0
160,0.6779773235321045,10.0
161,0.6955159306526184,9.0
162,0.7072922587394714,11.0
163,0.6916267275810242,8.0
164,0.6785628795623779,7.0
165,0.6827595233917236,9.0
166,0.696821928024292,9.0
167,0.6780908107757568,7.0
168,0.7355573177337646,10.0
169,0.6705121994018555,8.0
170,0.6491407155990601,6.0
171,0.7448527812957764,11.0
172,0.681425154209137,9.0
173,0.6907294392585754,7.0
174,0.7320552468299866,10.0
175,0.7173777222633362,10.0
176,0.71104496717453,11.0
177,0.6482297778129578,8.0
178,0.7485948801040649,13.0
179,0.6785441637039185,8.0
180,0.6692461371421814,7.0
181,0.7184962630271912,11.0
